#Nearest Neighbor Entropy Estimator. X~Beta(s+1,s+1)^d. Average over 500 tries
#d	s	k	N	sqMSE	slope	intercept
1	0.5	1	32	0.2379	-0.4809	0.2732
1	0.5	1	64	0.1867	-0.4809	0.2732
1	0.5	1	128	0.1258	-0.4809	0.2732
1	0.5	1	256	0.0964	-0.4809	0.2732
1	0.5	1	512	0.0616	-0.4809	0.2732
1	0.5	1	1024	0.0481	-0.4809	0.2732
1	0.5	1	2048	0.0332	-0.4809	0.2732
1	0.5	2	32	0.1771	-0.4960	-0.0141
1	0.5	2	64	0.1224	-0.4960	-0.0141
1	0.5	2	128	0.0873	-0.4960	-0.0141
1	0.5	2	256	0.0672	-0.4960	-0.0141
1	0.5	2	512	0.0438	-0.4960	-0.0141
1	0.5	2	1024	0.0323	-0.4960	-0.0141
1	0.5	2	2048	0.0219	-0.4960	-0.0141
1	0.5	3	32	0.1502	-0.5019	-0.1566
1	0.5	3	64	0.1046	-0.5019	-0.1566
1	0.5	3	128	0.0748	-0.5019	-0.1566
1	0.5	3	256	0.0533	-0.5019	-0.1566
1	0.5	3	512	0.0377	-0.5019	-0.1566
1	0.5	3	1024	0.0271	-0.5019	-0.1566
1	0.5	3	2048	0.0181	-0.5019	-0.1566
1	0.5	4	32	0.1337	-0.5218	-0.1906
1	0.5	4	64	0.0964	-0.5218	-0.1906
1	0.5	4	128	0.0655	-0.5218	-0.1906
1	0.5	4	256	0.0459	-0.5218	-0.1906
1	0.5	4	512	0.0323	-0.5218	-0.1906
1	0.5	4	1024	0.0210	-0.5218	-0.1906
1	0.5	4	2048	0.0160	-0.5218	-0.1906
1	0.5	5	32	0.1296	-0.5143	-0.3169
1	0.5	5	64	0.0858	-0.5143	-0.3169
1	0.5	5	128	0.0573	-0.5143	-0.3169
1	0.5	5	256	0.0407	-0.5143	-0.3169
1	0.5	5	512	0.0283	-0.5143	-0.3169
1	0.5	5	1024	0.0213	-0.5143	-0.3169
1	0.5	5	2048	0.0149	-0.5143	-0.3169
1	0.5	6	32	0.1304	-0.5355	-0.2386
1	0.5	6	64	0.0840	-0.5355	-0.2386
1	0.5	6	128	0.0576	-0.5355	-0.2386
1	0.5	6	256	0.0382	-0.5355	-0.2386
1	0.5	6	512	0.0273	-0.5355	-0.2386
1	0.5	6	1024	0.0193	-0.5355	-0.2386
1	0.5	6	2048	0.0139	-0.5355	-0.2386
1	0.5	7	32	0.1217	-0.5420	-0.2742
1	0.5	7	64	0.0771	-0.5420	-0.2742
1	0.5	7	128	0.0549	-0.5420	-0.2742
1	0.5	7	256	0.0367	-0.5420	-0.2742
1	0.5	7	512	0.0253	-0.5420	-0.2742
1	0.5	7	1024	0.0179	-0.5420	-0.2742
1	0.5	7	2048	0.0125	-0.5420	-0.2742
1	0.5	8	32	0.1249	-0.5586	-0.2263
1	0.5	8	64	0.0759	-0.5586	-0.2263
1	0.5	8	128	0.0510	-0.5586	-0.2263
1	0.5	8	256	0.0343	-0.5586	-0.2263
1	0.5	8	512	0.0233	-0.5586	-0.2263
1	0.5	8	1024	0.0175	-0.5586	-0.2263
1	0.5	8	2048	0.0116	-0.5586	-0.2263
1	0.5	9	32	0.1219	-0.5690	-0.1960
1	0.5	9	64	0.0749	-0.5690	-0.1960
1	0.5	9	128	0.0490	-0.5690	-0.1960
1	0.5	9	256	0.0342	-0.5690	-0.1960
1	0.5	9	512	0.0238	-0.5690	-0.1960
1	0.5	9	1024	0.0169	-0.5690	-0.1960
1	0.5	9	2048	0.0105	-0.5690	-0.1960
1	0.5	10	32	0.1310	-0.5771	-0.1685
1	0.5	10	64	0.0713	-0.5771	-0.1685
1	0.5	10	128	0.0474	-0.5771	-0.1685
1	0.5	10	256	0.0330	-0.5771	-0.1685
1	0.5	10	512	0.0235	-0.5771	-0.1685
1	0.5	10	1024	0.0147	-0.5771	-0.1685
1	0.5	10	2048	0.0113	-0.5771	-0.1685
1	1.0	1	32	0.2790	-0.5082	0.4636
1	1.0	1	64	0.1899	-0.5082	0.4636
1	1.0	1	128	0.1339	-0.5082	0.4636
1	1.0	1	256	0.0961	-0.5082	0.4636
1	1.0	1	512	0.0654	-0.5082	0.4636
1	1.0	1	1024	0.0455	-0.5082	0.4636
1	1.0	1	2048	0.0343	-0.5082	0.4636
1	1.0	2	32	0.1871	-0.4988	0.0737
1	1.0	2	64	0.1382	-0.4988	0.0737
1	1.0	2	128	0.0949	-0.4988	0.0737
1	1.0	2	256	0.0688	-0.4988	0.0737
1	1.0	2	512	0.0475	-0.4988	0.0737
1	1.0	2	1024	0.0346	-0.4988	0.0737
1	1.0	2	2048	0.0235	-0.4988	0.0737
1	1.0	3	32	0.1601	-0.5053	-0.1004
1	1.0	3	64	0.1081	-0.5053	-0.1004
1	1.0	3	128	0.0776	-0.5053	-0.1004
1	1.0	3	256	0.0557	-0.5053	-0.1004
1	1.0	3	512	0.0383	-0.5053	-0.1004
1	1.0	3	1024	0.0271	-0.5053	-0.1004
1	1.0	3	2048	0.0194	-0.5053	-0.1004
1	1.0	4	32	0.1262	-0.4748	-0.4178
1	1.0	4	64	0.0902	-0.4748	-0.4178
1	1.0	4	128	0.0650	-0.4748	-0.4178
1	1.0	4	256	0.0486	-0.4748	-0.4178
1	1.0	4	512	0.0361	-0.4748	-0.4178
1	1.0	4	1024	0.0234	-0.4748	-0.4178
1	1.0	4	2048	0.0175	-0.4748	-0.4178
1	1.0	5	32	0.1383	-0.5278	-0.1692
1	1.0	5	64	0.0913	-0.5278	-0.1692
1	1.0	5	128	0.0657	-0.5278	-0.1692
1	1.0	5	256	0.0434	-0.5278	-0.1692
1	1.0	5	512	0.0333	-0.5278	-0.1692
1	1.0	5	1024	0.0217	-0.5278	-0.1692
1	1.0	5	2048	0.0149	-0.5278	-0.1692
1	1.0	6	32	0.1318	-0.5304	-0.1970
1	1.0	6	64	0.0919	-0.5304	-0.1970
1	1.0	6	128	0.0602	-0.5304	-0.1970
1	1.0	6	256	0.0442	-0.5304	-0.1970
1	1.0	6	512	0.0293	-0.5304	-0.1970
1	1.0	6	1024	0.0213	-0.5304	-0.1970
1	1.0	6	2048	0.0144	-0.5304	-0.1970
1	1.0	7	32	0.1248	-0.5280	-0.2620
1	1.0	7	64	0.0812	-0.5280	-0.2620
1	1.0	7	128	0.0615	-0.5280	-0.2620
1	1.0	7	256	0.0427	-0.5280	-0.2620
1	1.0	7	512	0.0282	-0.5280	-0.2620
1	1.0	7	1024	0.0194	-0.5280	-0.2620
1	1.0	7	2048	0.0138	-0.5280	-0.2620
1	1.0	8	32	0.1307	-0.5372	-0.2584
1	1.0	8	64	0.0788	-0.5372	-0.2584
1	1.0	8	128	0.0538	-0.5372	-0.2584
1	1.0	8	256	0.0384	-0.5372	-0.2584
1	1.0	8	512	0.0276	-0.5372	-0.2584
1	1.0	8	1024	0.0185	-0.5372	-0.2584
1	1.0	8	2048	0.0133	-0.5372	-0.2584
1	1.0	9	32	0.1186	-0.5255	-0.3502
1	1.0	9	64	0.0769	-0.5255	-0.3502
1	1.0	9	128	0.0543	-0.5255	-0.3502
1	1.0	9	256	0.0377	-0.5255	-0.3502
1	1.0	9	512	0.0266	-0.5255	-0.3502
1	1.0	9	1024	0.0185	-0.5255	-0.3502
1	1.0	9	2048	0.0130	-0.5255	-0.3502
1	1.0	10	32	0.1261	-0.5546	-0.1872
1	1.0	10	64	0.0836	-0.5546	-0.1872
1	1.0	10	128	0.0568	-0.5546	-0.1872
1	1.0	10	256	0.0354	-0.5546	-0.1872
1	1.0	10	512	0.0245	-0.5546	-0.1872
1	1.0	10	1024	0.0185	-0.5546	-0.1872
1	1.0	10	2048	0.0126	-0.5546	-0.1872
1	1.5	1	32	0.2649	-0.5021	0.4347
1	1.5	1	64	0.1987	-0.5021	0.4347
1	1.5	1	128	0.1310	-0.5021	0.4347
1	1.5	1	256	0.0987	-0.5021	0.4347
1	1.5	1	512	0.0685	-0.5021	0.4347
1	1.5	1	1024	0.0451	-0.5021	0.4347
1	1.5	1	2048	0.0343	-0.5021	0.4347
1	1.5	2	32	0.1975	-0.5055	0.1013
1	1.5	2	64	0.1326	-0.5055	0.1013
1	1.5	2	128	0.0982	-0.5055	0.1013
1	1.5	2	256	0.0626	-0.5055	0.1013
1	1.5	2	512	0.0476	-0.5055	0.1013
1	1.5	2	1024	0.0333	-0.5055	0.1013
1	1.5	2	2048	0.0240	-0.5055	0.1013
1	1.5	3	32	0.1643	-0.5162	-0.0119
1	1.5	3	64	0.1159	-0.5162	-0.0119
1	1.5	3	128	0.0838	-0.5162	-0.0119
1	1.5	3	256	0.0543	-0.5162	-0.0119
1	1.5	3	512	0.0386	-0.5162	-0.0119
1	1.5	3	1024	0.0284	-0.5162	-0.0119
1	1.5	3	2048	0.0193	-0.5162	-0.0119
1	1.5	4	32	0.1401	-0.4957	-0.2418
1	1.5	4	64	0.0994	-0.4957	-0.2418
1	1.5	4	128	0.0723	-0.4957	-0.2418
1	1.5	4	256	0.0499	-0.4957	-0.2418
1	1.5	4	512	0.0358	-0.4957	-0.2418
1	1.5	4	1024	0.0252	-0.4957	-0.2418
1	1.5	4	2048	0.0179	-0.4957	-0.2418
1	1.5	5	32	0.1396	-0.5155	-0.1849
1	1.5	5	64	0.0935	-0.5155	-0.1849
1	1.5	5	128	0.0706	-0.5155	-0.1849
1	1.5	5	256	0.0477	-0.5155	-0.1849
1	1.5	5	512	0.0337	-0.5155	-0.1849
1	1.5	5	1024	0.0239	-0.5155	-0.1849
1	1.5	5	2048	0.0158	-0.5155	-0.1849
1	1.5	6	32	0.1346	-0.5163	-0.2221
1	1.5	6	64	0.0920	-0.5163	-0.2221
1	1.5	6	128	0.0647	-0.5163	-0.2221
1	1.5	6	256	0.0465	-0.5163	-0.2221
1	1.5	6	512	0.0323	-0.5163	-0.2221
1	1.5	6	1024	0.0228	-0.5163	-0.2221
1	1.5	6	2048	0.0153	-0.5163	-0.2221
1	1.5	7	32	0.1322	-0.5231	-0.2467
1	1.5	7	64	0.0878	-0.5231	-0.2467
1	1.5	7	128	0.0603	-0.5231	-0.2467
1	1.5	7	256	0.0425	-0.5231	-0.2467
1	1.5	7	512	0.0295	-0.5231	-0.2467
1	1.5	7	1024	0.0206	-0.5231	-0.2467
1	1.5	7	2048	0.0150	-0.5231	-0.2467
1	1.5	8	32	0.1233	-0.5168	-0.2952
1	1.5	8	64	0.0898	-0.5168	-0.2952
1	1.5	8	128	0.0590	-0.5168	-0.2952
1	1.5	8	256	0.0425	-0.5168	-0.2952
1	1.5	8	512	0.0295	-0.5168	-0.2952
1	1.5	8	1024	0.0202	-0.5168	-0.2952
1	1.5	8	2048	0.0148	-0.5168	-0.2952
1	1.5	9	32	0.1275	-0.5309	-0.2499
1	1.5	9	64	0.0830	-0.5309	-0.2499
1	1.5	9	128	0.0605	-0.5309	-0.2499
1	1.5	9	256	0.0398	-0.5309	-0.2499
1	1.5	9	512	0.0279	-0.5309	-0.2499
1	1.5	9	1024	0.0198	-0.5309	-0.2499
1	1.5	9	2048	0.0138	-0.5309	-0.2499
1	1.5	10	32	0.1188	-0.5347	-0.2436
1	1.5	10	64	0.0889	-0.5347	-0.2436
1	1.5	10	128	0.0571	-0.5347	-0.2436
1	1.5	10	256	0.0402	-0.5347	-0.2436
1	1.5	10	512	0.0288	-0.5347	-0.2436
1	1.5	10	1024	0.0195	-0.5347	-0.2436
1	1.5	10	2048	0.0129	-0.5347	-0.2436
1	2.0	1	32	0.2692	-0.4912	0.3939
1	2.0	1	64	0.1919	-0.4912	0.3939
1	2.0	1	128	0.1435	-0.4912	0.3939
1	2.0	1	256	0.0930	-0.4912	0.3939
1	2.0	1	512	0.0680	-0.4912	0.3939
1	2.0	1	1024	0.0498	-0.4912	0.3939
1	2.0	1	2048	0.0354	-0.4912	0.3939
1	2.0	2	32	0.1976	-0.5125	0.1525
1	2.0	2	64	0.1368	-0.5125	0.1525
1	2.0	2	128	0.1010	-0.5125	0.1525
1	2.0	2	256	0.0650	-0.5125	0.1525
1	2.0	2	512	0.0468	-0.5125	0.1525
1	2.0	2	1024	0.0346	-0.5125	0.1525
1	2.0	2	2048	0.0232	-0.5125	0.1525
1	2.0	3	32	0.1649	-0.5035	-0.0417
1	2.0	3	64	0.1211	-0.5035	-0.0417
1	2.0	3	128	0.0839	-0.5035	-0.0417
1	2.0	3	256	0.0611	-0.5035	-0.0417
1	2.0	3	512	0.0382	-0.5035	-0.0417
1	2.0	3	1024	0.0293	-0.5035	-0.0417
1	2.0	3	2048	0.0212	-0.5035	-0.0417
1	2.0	4	32	0.1536	-0.5024	-0.1254
1	2.0	4	64	0.1071	-0.5024	-0.1254
1	2.0	4	128	0.0776	-0.5024	-0.1254
1	2.0	4	256	0.0548	-0.5024	-0.1254
1	2.0	4	512	0.0396	-0.5024	-0.1254
1	2.0	4	1024	0.0278	-0.5024	-0.1254
1	2.0	4	2048	0.0183	-0.5024	-0.1254
1	2.0	5	32	0.1417	-0.5083	-0.1862
1	2.0	5	64	0.1003	-0.5083	-0.1862
1	2.0	5	128	0.0743	-0.5083	-0.1862
1	2.0	5	256	0.0471	-0.5083	-0.1862
1	2.0	5	512	0.0350	-0.5083	-0.1862
1	2.0	5	1024	0.0236	-0.5083	-0.1862
1	2.0	5	2048	0.0178	-0.5083	-0.1862
1	2.0	6	32	0.1424	-0.5081	-0.2475
1	2.0	6	64	0.0918	-0.5081	-0.2475
